Title,Owner,State,City/District,Periodity
ANUJA TIMES,NOF,,,
NEEL GAGAN SAMACHAR TIMES,NOT GIVEN,,,A
AAP SUB KA SAHARA TIMES,NOT GIVEN,,,W
JAN JAGRAN TIMES,NOT GIVEN,,,W
TODAY TIMES,PRADEEP KUMAR,AND,PORT BLAIR,D
THE KING TIMES,MOHD. SHAFIQUE,AND,PORT BLAIR,D
EMERALD TIMES,R. GURU,AND,PORT BLAIR,F
THE PORT BLAIR TIMES,DR P A MATHEWS,AND,PORT BLAIR,W
THE DAWN TIMES,P. GANESHAN,AND,SOUTH ANDAMAN/ PORT BLAIR,D
THE TIMES OF ANDAMAN,REEYA CHAKRABORTY,AND,SOUTH ANDAMAN/ PORT BLAIR,D
NEW ISLAND TIMES,K P KANNAN,AND,SOUTH ANDAMAN/ PORT BLAIR,W
SHANTHI TIMES,REDDYPALLISIVA SRINIVASA KUMAR,AP,ANANTAPUR,D
ANANTA TIMES,JODU RAMESH KUMAR,AP,ANANTAPUR,D
AKSHRA TIMES,BABAN JAVEED BASHA,AP,ANANTAPUR,D
KADIRI TIMES,SHAIK.SHABBIR SAHEB,AP,ANANTAPUR,D
BHAGAVAN TIMES,GADDAM SREEDHAR,AP,ANANTAPUR,D
SHAMBU TIMES,ILLURI PARAMESWAR REDDY,AP,ANANTAPUR,F
PENNA TIMES,BILLE. AKKULAPPA,AP,ANANTAPUR,M
VAMSI TIMES,KADAPA MADHUSUDHANA,AP,ANANTAPUR,M
PAVITRA TIMES,VYKUNTAM PRABHAKAR CHOWDARY,AP,ANANTAPUR,M
NANDU TIMES,B. SUBRAMANYAM REDDY,AP,ANANTAPUR,M
THE TIMES OF ADITHYA,PULIKANTI NAGENDRANATHA REDDY,AP,ANANTAPUR,M
KHADRI TIMES,PUPPALA ANJANEYLU,AP,ANANTAPUR,M
NEW MAMATHA TIMES,M BALAVENKATAIAH,AP,ANANTAPUR,M
TADIPATRI TIMES,GORTHI JYOTHI,AP,ANANTAPUR,M
BHAGAVAN TIMES,GADDAM SREEDHAR,AP,ANANTAPUR,M
SHALINI TIMES,REDDYPALLISIVA SRINIVASA KUMAR,AP,ANANTAPUR,M
PAMIDI TIMES,CHAKALI SIVAPRASAD,AP,ANANTAPUR,M
HARIKA TIMES,M. RAJASEKHAR REDDY,AP,ANANTAPUR,M
KEERTHI TIMES,K. SREENIVASULU,AP,ANANTAPUR,M
HAPPY INDIA TIMES,HAPPY INDIA TECHNOCORP PVT LTD,AP,ANANTAPUR,W
PYRAMID TIMES,DR. G.R. YUGANDHAR,AP,CHITTOOR,BM
TIRUPATI HAPPY TIMES,N. REDDEPPA NAIDU,AP,CHITTOOR,F
ESWAR TIMES,L. ESWAR,AP,CHITTOOR,M
REGISTRATION TIMES,N.PURUSHOTHAM,AP,CHITTOOR,M
TIMES OF TIRUPATI,K. NETHAJI,AP,CHITTOOR/ TIRUPATI,M
ENVIRONMENT AND POLLUTION TIMES,N. PURUSHOTHAM,AP,CHITTOR,M
TOURISM TIMES,N. PURUSHOTHAM,AP,CHITTOR,M
JOURNALIST TIMES,N. PURUSHOTHAM,AP,CHITTOR,M
RAJAMAHENDRAVARAM TIMES,KUCHIMANCHI MADHULATHA,AP,EAST GODAVARI,D
SAMAKALEENA ANDHRA TIMES,NALLURI POSAGIRIBABU,AP,EAST GODAVARI,D
KAKINADA TIMES,NALLURI SRINIVASA RAO,AP,EAST GODAVARI,D
GODAVARI TIMES,ANANTHA RAO GOTTIMUKKALA,AP,EAST GODAVARI,D
DIKHSUTCHI TIMES,PARVADA ANJANEYULU,AP,EAST GODAVARI,D
COASTA TIMES,CHOPPALA DEEPIKA,AP,EAST GODAVARI,DE
TIMES IN THE CITY,VALLI BASHA MOHAMMAD,AP,EAST GODAVARI,W
NAMBURI TIMES,NAMBURI CHINA SAIDAIAH,AP,GUNTUR,D
GUNTUR TIMES,NELAVALLI SRINIVAS RAO,AP,GUNTUR,D
PONNUR TIMES,GOLLAMUDI RAMESH BABAU,AP,GUNTUR,D
BAPATLA TIMES,EAGAM VISHNU SAI PRASADA RAO,AP,GUNTUR,D
NANDI TIMES,G.S. SUNDARA SARMA,AP,GUNTUR,D
SUJANA TIMES,KATTA. SRINIVASULU,AP,GUNTUR,D
SWARNAPURI TIMES,SUNDAR SINGH BODDU,AP,GUNTUR,D
COMMERCE TIMES,SRI KRISHNA NALAM,AP,GUNTUR,F
LAW TIMES,GARIKIPATY VEERAIAH,AP,GUNTUR,F
WEAVERS TIMES,P.ARJUN,AP,GUNTUR,F
THE TENALI TIMES,LUKKA VENKATESWARA RAO,AP,GUNTUR,W
VIJAYAWADA TIMES,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,D
GREEN TIMES,MOHAMMED MEHDI ALI,AP,HYDERABAD,D
ARYAVART TIMES,RACHARLA ARJUN KUMAR,AP,HYDERABAD,D
THE TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,D
NANDI TIMES,G.S. SUNDARA SARMA,AP,HYDERABAD,D
TIMES OF VAARTHA,G. JANARDHAN REDDHY,AP,HYDERABAD,D
RIYAZ TIMES,MOHD. RIYAZ ALI,AP,HYDERABAD,D
DESH BHAKT TIMES,K. SATYANARAYANA,AP,HYDERABAD,D
STATE TIMES,MULAKALA VISWA GINGA,AP,HYDERABAD,D
CHARMINAR TIMES,MD. SHUJA UDDIN IFTEQARI,AP,HYDERABAD,D
BHUPATHI TIMES,BHUPATHI RAJU,AP,HYDERABAD,D
PRAGATHI TIMES,AFROZ QURESHI,AP,HYDERABAD,D
NASER TIMES,JAHANGIR SULTANA,AP,HYDERABAD,D
ADAM TIMES,MOHD. AKBAR,AP,HYDERABAD,D
RIDA TIMES,MOHAMMED KHAIRATH ALI,AP,HYDERABAD,D
SHALIMAR TIMES,SYED MUMTAZ MOHAMMED,AP,HYDERABAD,D
RIYAZ TIMES,MOHD. RIYAZ ALI,AP,HYDERABAD,D
SANSANI TIMES,MOHD NAJMUDDIN,AP,HYDERABAD,D
LOK SATTA TIMES,FOUNDATION FOR DEMOCRATIC REFORMS,AP,HYDERABAD,F
MEHAR TIMES,MOHD. AFFAN QUADRI,AP,HYDERABAD,M
SRIVEN TIMES,DEVULAPALLI PADMAJA,AP,HYDERABAD,M
YERUKALA TIMES,V. PRABHAKAR,AP,HYDERABAD,M
PARAMEDICAL & NURSING TIMES,DR.MOHD SAMLULLAH KHAN,AP,HYDERABAD,M
TARNAKA TIMES,DR. RAO V.B.J. CHELIKANI,AP,HYDERABAD,M
DRAVIDIAN TIMES,C.H. DAYANAND RAO,AP,HYDERABAD,M
TRANSPORT TIMES,N. PURUSHOTHAM GOUD,AP,HYDERABAD,M
ANDHRA LAW TIMES (LEGISLATIVE SUPPLEMENT),L.D.GOGIA,AP,HYDERABAD,M
TIMES OF DISASTER MANAGEMENT,S. ANANDA BABU,AP,HYDERABAD,Q
ETERNAL LIFE TIMES,K. NEWTON,AP,HYDERABAD,Q
PRAGATHI TIMES,AFROZ QURESHI,AP,HYDERABAD,W
ADEEB TIMES,MOHAMMED ATHER,AP,HYDERABAD,W
THE ECONOMIC TIMES WEALTH,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W
INDIA GULF TIMES,ZEENATH SAJIDA,AP,HYDERABAD,W
NASER TIMES,JAHANGIR SULTANA,AP,HYDERABAD,W
SHADAN TIMES,MOHAMMED KALEEM MOHIUDDIN,AP,HYDERABAD,W
DESH BHAKT TIMES,K. SATYANARAYANA,AP,HYDERABAD,W
JUSTICE TIMES,KHAJA ABDUL HAMEED,AP,HYDERABAD,W
JURRAT TIMES,MOHAMMED FAYAQ NAWAZ,AP,HYDERABAD,W
EDUCATION TIMES,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W
THE ECONOMIC TIMES ON SATURDAY,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W
TIMES ASCENT,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W
INSAAF NEWS TIMES,A.RASHEED KHAN,AP,HYDERABAD,W
ADAM TIMES,MOHD. AKBAR,AP,HYDERABAD,W
NUZIVIDU TIMES,MALLIPUDI RAJASEKHAR,AP,HYDERABAD,W
JUSTICE TIMES,KHAJA ABDUL HAMEED,AP,HYDERABAD,W
JUSTICE TIMES,KHAJA ABDUL HAMEED,AP,HYDERABAD,W
THE ECONOMIC TIMES MAGAZINE,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W
JUSTICE TIMES,KHAJA ABDUL HAMEED,AP,HYDERABAD,W
KHURSHEED TIMES,MOHD. KHURSHEED KHAN,AP,HYDERBAD,W
CUDDAPAH WEEKLY TIMES,B.VENKATA SUBBAIAH,AP,KADAPA,W
PALAMOOR TIMES,A. ANJAIAH,AP,KARIMNAGAR,D
SHATHABDI TIMES,BONKURI MADUNAIAH,AP,KARIMNAGAR,W
PEOPLES TIMES,VODYATI PRAVEEN KUMAR,AP,KARIMNAGAR,W
BHUPATHI TIMES,BHUPATHI RAJU,AP,KHAMMAM,D
KHAMMAM TIMES,BYRE KARAMCHAND GANDHI,AP,KHAMMAM,Q
GUDIVADA TIMES,BAPATLA LUDIYA,AP,KRISHNA,D
MYLAVARAM TIMES,MANNE SAMBASIVA RAO,AP,KRISHNA,D
TIMES POWER,BAPATLA KIRAN KUMAR,AP,KRISHNA,D
TIRUVURU TIMES,R.S.V.PRASAD,AP,KRISHNA,DE
FLASH TIMES,R S MURTHY,AP,KRISHNA/ VIJAYWADA,D
AMARAVATI TIMES,PRIME BIZ TECH SOLUTIONS PVT.LTD.,AP,KRISHNA/ VIJAYWADA,M
HAROON TIMES,OSMAN HAROON,AP,KURNOOL,D
KANDANAVOLU TIMES,CHAKALI RAMANJANEYULU,AP,KURNOOL,D
RAHMATABAD TIMES,S. NAZEER AHMED BASHA,AP,KURNOOL,D
NANDI TIMES,G.S. SUNDARA SARMA,AP,KURNOOL,D
SEEMA TIMES,G. VIJAYA LAKSHMI,AP,KURNOOL,D
DREAM TIMES,KALUBURIGI SOWMYA,AP,KURNOOL,D
MOURYA TIMES,MADRI LAKSHMANNA,AP,KURNOOL,D
RAYALASEEMA TIMES,G.A. SATTAR,AP,KURNOOL,D
BHAHUJANA TIMES,BHAHUJANA NEWS PVT LTD,AP,KURNOOL,D
BHARAT TIMES,A. SALOMI,AP,KURNOOL,F
THE PEER TIMES,SYED MOHD. PEER,AP,KURNOOL,M
SAMEENA TIMES,SAMEENA BEGUM,AP,KURNOOL,M
HARISHINI TIMES,G.V. LAKSHMAMMA,AP,KURNOOL,M
VISWA TIMES,ANURUP CHARITABLE TRUST,AP,KURNOOL,M
GIRIJANA NAIK TIMES,K.LALU NAIK,AP,KURNOOL,M
MAHARSI TIMES,T MADDULETI,AP,KURNOOL,M
KURNOOL TIMES,C. NAZEER AHMED,AP,KURNOOL,W
RAYALASEEMA TIMES,G.A. SATTAR,AP,KURNOOL,W
KURNOOL TIMES,C.N. AHMED,AP,KURNOOL,W
MAHABUBNAGAR TIMES,M. YADAGIRI,AP,MAHABUBNAGAR,D
PALAMOOR TIMES,A. ANJAIAH,AP,MAHBUBNAGAR,D
RACHANA TIMES,MODALA CHNDRA SHEKAR,AP,MAHBUBNAGAR,M
CITY TIMES,B PRAMOD KUMAR,AP,MANCHERIAL,D
THE SIDDIPET TIMES,L.RAVI CHANDRA,AP,MEDAK,D
UDAYAM TIMES,K. SHOBHA RANI,AP,NALGONDA,D
BHUPATHI TIMES,BHUPATHI RAJU,AP,NALGONDA,D
DESHA TIMES,SAYED PASHA,AP,NALGONDA,D
MALLIK TIMES,VALIGONDA MALLAIAH,AP,NALGONDA,M
DESHA TIMES,SAYED PASHA,AP,NALGONDA,M
SIMHAPURI TIMES,BASINI MANJULA,AP,NELLORE,D
COFFEE TIMES,MVS RAVINDRA KUMAR,AP,NELLORE,M
SIMHAPURI TIMES,BASINI MANJULA,AP,NELLORE,M
NELLORE TIMES,P. RUKMINAMMA,AP,NELLORE,W
VENKATAGIRI TIMES,RAYAPATI SAI KRISHNA,AP,NELLORE,W
MOMIN TIMES,MOHD AWAIS KHAN,AP,NIZAMABAD,D
PRAKASAM TIMES,GADDALA RAVI,AP,PRAKASAM,M
MULNIVASI TIMES,BATTU VISVESWARARAO,AP,RAJAHMUNDRY,F
CITY TIMES,B PRAMOD KUMAR,AP,RANGA REDDY,D
PRAJA TIMES,P. RAMULU GOUD,AP,RANGAREDDY,D
LOCAL TIMES,T. SHANKAR,AP,RANGAREDDY,D
WEAVERS TIMES,P.ARJUN,AP,RANGAREDDY,F
TRAVELLERS TIMES,BHUVANESHWARI DEVI SAI KAANTH,AP,RANGAREDDY,F
METRO CITY TIMES,B. PRAMODKUMAR,AP,RANGAREDDY,M
PANCHAYATHRAJ TIMES,P.LAVANYA,AP,RANGAREDDY,M
ROAD SAFETY TIMES,K. VANALATHA,AP,RANGAREDDY,M
PRAJA TIMES,P. RAMULU GOUD,AP,RANGAREDDY,M
FREELANCE JOURNALIST TIMES,K. SATEESH KUMAR,AP,RANGAREDDY,M
HEALTH TIMES,P.S. CHALAM NAIDU,AP,RANGAREDDY,M
ARROW TIMES,I. VENKATESH GOUD,AP,RANGAREDDY,M
SANATHNAGAR TIMES,M. SRINIVAS REDDY,AP,RANGAREDDY,W
CHIKKOLU TIMES,CHEMCHALA LAKSHMI,AP,SRIKAKULAM,D
THE MONDAY TIMES,PICINI CHANDRA MOHAN,AP,SRIKAKULAM,M
CITY TIMES,B PRAMOD KUMAR,AP,TANDUR,D
THE FEDERAL TIMES,DR. M. KAILASHPATHI,AP,TENALI,D
CITY TIMES,B PRAMOD KUMAR,AP,TIRUPATHI,D
THE TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",AP,VIJAYAWADA,D
BEZAVADA TIMES,MURALA VENUGOPAL,AP,VIJAYAWADA,M
CITIZEN TIMES,M.S.R. PATNAIK,AP,VISAKHAPATNAM,D
THE SUNDAY TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",AP,VISAKHAPATNAM,D
KALINGA TIMES,KRISHNA MOORTHY PRAYAKA RAO,AP,VISAKHAPATNAM,D
VIZAG TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",AP,VISAKHAPATNAM,D
THE TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",AP,VISAKHAPATNAM,D
COSTA TIMES,KALLA SUBBA RAO,AP,VISAKHAPATNAM,D
NANDI TIMES,G.S. SUNDARA SARMA,AP,VISAKHAPATNAM,D
DIKHSUTCHI TIMES,PARVADA ANJANEYULU,AP,VISAKHAPATNAM,DE
COSTA TIMES,KALLA SUBBA RAO,AP,VISAKHAPATNAM,F
PRAJAA TIMES TELUGU PAKSHA PATRIKA,M. PADMAJA,AP,VISAKHAPATNAM,F
SALADI TIMES,KANAKA RAO SALADI,AP,VISAKHAPATNAM,F
TENDER TIMES,APARNA PUBLICATIONS,AP,VISAKHAPATNAM,F
GAJUWAAKA TIMES,BANTHIKOLLA SANTHOSHI DEVI,AP,VISAKHAPATNAM,M
TEJA TIMES,GORLE ESWARA RAO,AP,VISAKHAPATNAM,M
MEGA TIMES,GEDDAM VENKATA JAGANNADHA RAO,AP,VISAKHAPATNAM,M
VIBHINNA VARTHA PATRIKA TELUGU TIMES,KESANAPALLI VENKATA SHANTHI,AP,VISAKHAPATNAM,M
VALTAIR TIMES,G. LAKSHMI,AP,VISAKHAPATNAM,M
GREATER TIMES,YALLA APPA RAO,AP,VISAKHAPATNAM,M
ANDHRA TIMES FOR THE PEOPLE,BALIDE PADMAVATHI,AP,VISAKHAPATNAM,W
VISAKHA SURYA TIMES,JABADYA NAMALA,AP,VISAKHAPATNAM,W
VIZAG TIMES,CHAMARTHI RAMAKRISHNA RAO,AP,VISAKHAPATNAM,W
TIMES ASCENT,"BENNETT, COLEMAN & CO.LTD",AP,VISAKHAPATNAM,W
VIZIANAGARAM TIMES,E. SURESH KUMAR,AP,VIZIANAGARAM,D
GURUJADA TIMES,MAJJI SIVA KUMAR,AP,VIZIANAGARAM,D
CITY TIMES,B PRAMOD KUMAR,AP,WARANGAL,D
DIKHSUTCHI TIMES,PARVADA ANJANEYULU,AP,WEST GODAVARI,D
UPLAND TIMES,BANDARU SRINIVASA RAO,AP,WEST GODAVARI,D
ELURU TIMES,MULAKALA DEVENDRA RAO,AP,WEST GODAVARI,D
DWARAKA TIRUMALA TIMES,VATTIKUTI V.V.S.SWAMY,AP,WEST GODAVARI,F
ZILLA TIMES,NIMMALA VENKATA RAMARAO,AP,WEST GODAVARI,W
TARANGINI TIMES,KETA SATYANARAYANA,AP,WEST GODAVARI,W
PALACOLE TIMES,PEDDADA HARA GOPALARAJU,AP,WEST GODAVARI,W
VASISTA TIMES,MANTENA LAKSHMI,AP,WEST GODAVERI/ ELURU,D
STATE TIMES,MULAKALA VISWA GINGADHARAN,AP,WEST GODAVERI/ ELURU,D
TADEPALLIGUDEM TIMES,KOTA VENKATESWARARAO,AP,WEST GODAVERI/ ELURU,W
PRODDATUR TIMES,KONETI NARENDRA BABU,AP,YSR/ KADAPA,M
KADAPA TIMES,VADDEYRAJU VIJAY KUMAR,AP,YSR/ KADAPA,M
NORTHEAST TIMES,G.L.PUBLICATIONS LTD,ARP,ITANAGAR,D
THE ROING TIMES,SOCIETY FOR UPLIFTMENT OF ROING (SUR),ARP,LOWER DIBANG VALLEY,W
THE ITANAGAR TIMES,AJOY YADAV,ARP,PAPUM PARE,W
THE ARUNACHAL TIMES,ARUNACHAL TIMES PUBLICATIONS PVT LTD,ARP,PAPUM PARE/ ITANAGAR,D
SANMARG TIMES,SANMARG PVT LTD,ARP,PAPUM PARE/ ITANAGAR,D
THE VOICE TIMES,ALOK DAS,ASS,CACHAR,D
BARAK TIMES,RAJU SAHA,ASS,CACHAR,F
THE SILCHAR TIMES,SUNALI NATH,ASS,CACHAR,W
SILCHAR TIMES,SANAT KUMAR KOIRI,ASS,CACHAR/ SILCHAR,D
CACHAR TIMES,BIJOY DEBNATH,ASS,CACHAR/ SILCHAR,TWW
THE NORTH EAST TIMES,G.L.PUBLICATIONS LTD,ASS,GAUHATI,D
THE TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",ASS,GUWAHATI,D
THE HILLS TIMES,RAMESWAR CHAUHAN,ASS,GUWAHATI,D
RABTA TIMES,AYAAN PUBLICATION PVT. LTD.,ASS,GUWAHATI,D
GAUHATI LAW TIMES,MOHAMMAD TAHIR FARIDI,ASS,GUWAHATI,M
GOOD TIMES,RAJAT DEORAH,ASS,GUWAHATI,M
THE SUNDAY TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",ASS,GUWAHATI,W
ECLECTIC TIMES,ECLECTIC PUBLICATIONS PRIVATE LIMITED,ASS,KAMRUP,M
SAPARIVAR TIMES,HEMANTA KUMAR SAIKIA,ASS,KAMRUP (GUWAHATI),W
THE OIL FIELD TIMES,M/S SANKHA PRESS PVT LTD,ASS,KAMRUP METROPOLITAN/ GUWAHATI,D
THE PRESENT TIMES,SANKHA PRESS P. LTD,ASS,KAMRUP METROPOLITAN/ GUWAHATI,D
THE BRAHMAPUTRA TIMES,JYOTI GOGOI,ASS,KAMRUP METROPOLITAN/ GUWAHATI,F
ASSAM LAW TIMES,PARTHA PRATIM MEDHI,ASS,KAMRUP METROPOLITAN/ GUWAHATI,M
EVENT TIMES,SRIANGO PRAKASH,ASS,KAMRUP METROPOLITAN/ GUWAHATI,W
THE BODOLAND TIMES,PHUKAN CHANDRA BORO,ASS,KAMRUP METROPOLITAN/ GUWAHATI,W
THE HILLS TIMES,RAMESWAR CHAUHAN,ASS,KARBI ANGLONG/ DIPHU,D
THE DIPHU TIMES,M/S HILLS ADVERTISING & PUBLICATION DIPHU,ASS,KARBI ANGLONG/ DIPHU,W
THE TIMES OF ASSAM,BHAKTI BRAHMA,ASS,KOKRAJHAR,D
