Title,Owner,State,City/District,Periodity
THE ECHO OF INDIA,ASISH LAHA,AND,PORT BLAIR,D
INFO INDIA,ASISH LAHA,AND,PORT BLAIR,D
THE MINI INDIA,K. YADAGIRI RAO,AND,PORT BLAIR,W
SOUTH INDIAN CENTRAL POST,SAAKE JOHNY,AP,ANANTAPUR,M
GREAT GAME INDIA,G. RAJA SEKHAR,AP,ANANTAPUR,Q
HAPPY INDIA TIMES,HAPPY INDIA TECHNOCORP PVT LTD,AP,ANANTAPUR,W
HIT HAPPY INDIA TECHS NEWS,HAPPY INDIA TECHNOCORP PRIVATE LIMITED,AP,ANANTAPUR,W
THE NEW INDIAN EXPRESS,EXPRESS PUBLICATIONS (MADURAI) LTD.,AP,CHITTOOR,D
THE HANS INDIA,HYDERABAD MEDIA HOUSE LTD.,AP,CHITTOOR,D
MOTHER INDIA,T.K.KARTHAVARAYAN,AP,CHITTOOR,F
INDIANS DAY,T. GOPINATH,AP,CHITTOOR,M
INDIA NEWS TODAY,SANGINEEDI SITARAM,AP,EAST GODAVARI,D
DECCAN INDIA,KAREM SIVAJI,AP,EAST GODAVARI,D
THE NEWS INDIA,SEETHARAM SANGINEEDI,AP,EAST GODAVARI,M
INDIA NEWS TODAY,SANGINEEDI SITARAM,AP,EAST GODAVARI,M
SUVARNA INDIA,BUSIM VENKATA NAGA VENU,AP,EAST GODAVARI,M
INDIA SAMACHARAM,GUTHALA SUBHASH BABU,AP,EAST GODAVARI,M
INDIA JYOTY,ATMAKURI KRISHNA PRASADA RAO,AP,GUNTUR,D
INDIAN JOURNAL OF SYSTEMATIC ENTOMOLOGY,MUBARAK ALI KHAN,AP,GUNTUR,HY
INDIAN JOURNAL OF AGRICULTUURAL MARKETING,INDIAN SOCIETY OF AGRICULTURAL MARKETING,AP,GUNTUR,HY
SARE JAHANSE ACHHA INDIA,SYED NASEER AHAMED,AP,GUNTUR,M
NAMASTHE INDIA,ATMAKURI KRISHNA PRASADA RAO,AP,GUNTUR,W
INDIAN LEGEND,PEREBOINA AJAY INDIAN,AP,GUNTUR,W
THE BEST OF INDIA,FRANCIS FARIAS,AP,HYDERABAD,A
SOUTH INDIA NEWS,N.V. RAMANA REDDY,AP,HYDERABAD,D
THE TIMES OF INDIA,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,D
DECCAN INDIA,KAREM SIVAJI,AP,HYDERABAD,D
